bins,dob_mm,no_mmorb,dob_tt
7:01-8:00,December,Survival,13042
7:01-8:00,February,Death,120
7:01-8:00,February,Survival,11818
7:01-8:00,January,Death,145
7:01-8:00,January,Survival,12005
7:01-8:00,July,Death,158
7:01-8:00,July,Survival,14437
7:01-8:00,June,Death,140
7:01-8:00,June,Survival,14049
7:01-8:00,March,Death,151
7:01-8:00,March,Survival,13426
7:01-8:00,May,Death,155
7:01-8:00,May,Survival,13199
7:01-8:00,November,Death,158
7:01-8:00,November,Survival,13032
7:01-8:00,October,Death,152
7:01-8:00,October,Survival,13538
7:01-8:00,September,Death,142
7:01-8:00,September,Survival,13846
8:01-9:00,April,Death,238
8:01-9:00,April,Survival,18399
8:01-9:00,August,Death,268
8:01-9:00,August,Survival,20491
8:01-9:00,December,Death,225
8:01-9:00,December,Survival,19179
8:01-9:00,February,Death,196
8:01-9:00,February,Survival,16650
8:01-9:00,January,Death,208
8:01-9:00,January,Survival,17493
8:01-9:00,July,Death,220
8:01-9:00,July,Survival,19777
8:01-9:00,June,Death,234
8:01-9:00,June,Survival,19600
8:01-9:00,March,Death,216
8:01-9:00,March,Survival,19226
8:01-9:00,May,Death,227
8:01-9:00,May,Survival,18239
8:01-9:00,November,Death,213
8:01-9:00,November,Survival,18749
8:01-9:00,October,Death,236
8:01-9:00,October,Survival,19245
8:01-9:00,September,Death,238
8:01-9:00,September,Survival,20195
9:01-10:00,April,Death,178
9:01-10:00,April,Survival,14515
9:01-10:00,August,Death,249
9:01-10:00,August,Survival,16052
9:01-10:00,December,Death,199
9:01-10:00,December,Survival,15675
9:01-10:00,February,Death,169
9:01-10:00,February,Survival,13126
9:01-10:00,January,Death,156
9:01-10:00,January,Survival,13666
9:01-10:00,July,Death,213
9:01-10:00,July,Survival,15857
9:01-10:00,June,Death,211
9:01-10:00,June,Survival,15306
9:01-10:00,March,Death,202
9:01-10:00,March,Survival,15153
9:01-10:00,May,Death,199
9:01-10:00,May,Survival,14951
9:01-10:00,November,Death,224
9:01-10:00,November,Survival,14981
9:01-10:00,October,Death,183
9:01-10:00,October,Survival,15469
9:01-10:00,September,Death,216
9:01-10:00,September,Survival,15894
10:01-11:00,April,Death,207
10:01-11:00,April,Survival,14652
10:01-11:00,August,Death,257
10:01-11:00,August,Survival,16239
10:01-11:00,December,Death,201
10:01-11:00,December,Survival,15537
10:01-11:00,February,Death,174
10:01-11:00,February,Survival,13500
10:01-11:00,January,Death,183
10:01-11:00,January,Survival,14082
10:01-11:00,July,Death,196
10:01-11:00,July,Survival,16323
10:01-11:00,June,Death,217
10:01-11:00,June,Survival,15827
10:01-11:00,March,Death,198
10:01-11:00,March,Survival,15228
10:01-11:00,May,Death,197
10:01-11:00,May,Survival,15194
10:01-11:00,November,Death,215
10:01-11:00,November,Survival,15094
10:01-11:00,October,Death,203
10:01-11:00,October,Survival,15855
10:01-11:00,September,Death,225
10:01-11:00,September,Survival,16281
11:01-12:00,April,Death,211
11:01-12:00,April,Survival,14189
11:01-12:00,August,Death,222
11:01-12:00,August,Survival,16098
11:01-12:00,December,Death,226
11:01-12:00,December,Survival,15060
11:01-12:00,February,Death,172
11:01-12:00,February,Survival,13021
11:01-12:00,January,Death,194
11:01-12:00,January,Survival,13459
11:01-12:00,July,Death,212
11:01-12:00,July,Survival,15910
11:01-12:00,June,Death,218
11:01-12:00,June,Survival,15217
11:01-12:00,March,Death,199
11:01-12:00,March,Survival,14940
11:01-12:00,May,Death,181
11:01-12:00,May,Survival,14615
11:01-12:00,November,Death,203
11:01-12:00,November,Survival,14893
11:01-12:00,October,Death,215
11:01-12:00,October,Survival,15226
11:01-12:00,September,Death,244
11:01-12:00,September,Survival,15670
12:01-13:00,April,Death,214
12:01-13:00,April,Survival,16741
12:01-13:00,August,Death,251
12:01-13:00,August,Survival,18637
12:01-13:00,December,Death,215
12:01-13:00,December,Survival,17416
12:01-13:00,February,Death,193
12:01-13:00,February,Survival,15384
12:01-13:00,January,Death,196
12:01-13:00,January,Survival,15642
12:01-13:00,July,Death,264
12:01-13:00,July,Survival,18295
12:01-13:00,June,Death,205
12:01-13:00,June,Survival,17565
12:01-13:00,March,Death,227
12:01-13:00,March,Survival,17489
12:01-13:00,May,Death,227
12:01-13:00,May,Survival,16942
12:01-13:00,November,Death,220
12:01-13:00,November,Survival,17010
12:01-13:00,October,Death,218
12:01-13:00,October,Survival,17652
12:01-13:00,September,Death,247
12:01-13:00,September,Survival,18404
13:01-14:00,April,Death,235
13:01-14:00,April,Survival,15419
13:01-14:00,August,Death,225
13:01-14:00,August,Survival,17189
13:01-14:00,December,Death,225
13:01-14:00,December,Survival,16422
13:01-14:00,February,Death,189
13:01-14:00,February,Survival,14146
13:01-14:00,January,Death,170
13:01-14:00,January,Survival,14649
13:01-14:00,July,Death,236
13:01-14:00,July,Survival,16931
13:01-14:00,June,Death,227
13:01-14:00,June,Survival,16574
13:01-14:00,March,Death,249
13:01-14:00,March,Survival,16124
13:01-14:00,May,Death,241
13:01-14:00,May,Survival,15892
13:01-14:00,November,Death,239
13:01-14:00,November,Survival,15777
13:01-14:00,October,Death,210
13:01-14:00,October,Survival,16656
13:01-14:00,September,Death,248
13:01-14:00,September,Survival,16986
14:01-15:00,April,Death,201
14:01-15:00,April,Survival,14415
14:01-15:00,August,Death,212
14:01-15:00,August,Survival,15950
14:01-15:00,December,Death,205
14:01-15:00,December,Survival,15319
14:01-15:00,February,Death,178
14:01-15:00,February,Survival,13056
14:01-15:00,January,Death,178
14:01-15:00,January,Survival,13284
14:01-15:00,July,Death,197
14:01-15:00,July,Survival,15768
14:01-15:00,June,Death,245
14:01-15:00,June,Survival,15413
14:01-15:00,March,Death,215
14:01-15:00,March,Survival,15050
14:01-15:00,May,Death,212
14:01-15:00,May,Survival,14597
14:01-15:00,November,Death,203
14:01-15:00,November,Survival,14686
14:01-15:00,October,Death,252
14:01-15:00,October,Survival,15201
14:01-15:00,September,Death,234
14:01-15:00,September,Survival,15923
15:01-16:00,April,Death,216
15:01-16:00,April,Survival,13523
15:01-16:00,August,Death,240
